id	name_abbr	name	division	taxonomy	ncbi_taxon_id	genome_assembly	genome_accession	gff	ensembl_db
25	ptr	Pan troglodytes	PTR	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;	9598	Pan_tro3.0	NCBI_Assembly:GCA_000001515.5	1	NULL
26	ssy	Symphalangus syndactylus	SSY	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Hominidae;	9590	NULL	NULL	0	NULL
27	lca	Lemur catta	LCA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Primates;Lemuridae;	9447	NULL	NULL	0	NULL
28	oan	Ornithorhynchus anatinus	OAN	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Prototheria;	9258	OANA5	NULL	0	NULL
29	cgr	Cricetulus griseus	CGR	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Rodentia;	10029	CriGri_1.0	NCBI_Assembly:GCA_000223135.1	0	NULL
30	mmu	Mus musculus	MMU	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Rodentia;	10090	GRCm39	NCBI_Assembly:GCA_000001635.9	1	NULL
31	rno	Rattus norvegicus	RNO	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Rodentia;	10116	Rnor_6.0	NCBI_Assembly:GCA_000001895.4	1	NULL
32	bta	Bos taurus	BTA	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Ruminantia;	9913	Btau_5.0.1	NCBI_Assembly:GCA_000003205.6	1	NULL
33	oar	Ovis aries	OAR	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Ruminantia;	9940	Oar_v4.0	NCBI_Assembly:GCA_000298735.2	0	NULL
34	ssc	Sus scrofa	SSC	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Mammalia;Suina;	9823	Sscrofa10.2	NCBI_Assembly:GCA_000003025.4	0	NULL
35	dre	Danio rerio	DRE	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	7955	GRCz11	NCBI_Assembly:GCA_000002035.4	1	NULL
36	fru	Fugu rubripes	FRU	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	31033	FUGU5	NCBI_Assembly:GCA_000180615.2	1	NULL
37	tni	Tetraodon nigroviridis	TNI	Metazoa;Bilateria;Deuterostoma;Chordata;Vertebrata;Teleostei;	99883	Tetraodon8	NULL	1	NULL
38	aga	Anopheles gambiae	AGA	Metazoa;Bilateria;Ecdysozoa;Arthropoda;Hexapoda;	7165	AgamP3	NCBI_Assembly:GCA_000005575.1	0	NULL
